frame_number,landmark,x,y,z
9,MOUTH_LEFT,0.3693,0.2694,-0.3331
9,MOUTH_RIGHT,0.3542,0.2684,-0.3296
9,LEFT_SHOULDER,0.4269,0.3477,-0.1485
9,RIGHT_SHOULDER,0.3142,0.3379,-0.1204
9,LEFT_ELBOW,0.4475,0.4695,-0.0858
9,RIGHT_ELBOW,0.293,0.4529,-0.0537
9,LEFT_WRIST,0.4493,0.5758,-0.1951
9,RIGHT_WRIST,0.2793,0.549,-0.1628
9,LEFT_PINKY,0.4494,0.6032,-0.2285
9,RIGHT_PINKY,0.2735,0.5818,-0.1962
9,LEFT_INDEX,0.439,0.6006,-0.2701
9,RIGHT_INDEX,0.2805,0.5803,-0.2381
9,LEFT_THUMB,0.4367,0.591,-0.2126
9,RIGHT_THUMB,0.285,0.5694,-0.1819
9,LEFT_HIP,0.4004,0.5759,-0.0064
9,RIGHT_HIP,0.3325,0.5725,0.0063
9,LEFT_KNEE,0.3951,0.7457,0.0149
9,RIGHT_KNEE,0.3321,0.7433,0.0195
9,LEFT_ANKLE,0.3908,0.8923,0.2222
9,RIGHT_ANKLE,0.331,0.8917,0.2214
9,LEFT_HEEL,0.385,0.9075,0.2324
9,RIGHT_HEEL,0.3381,0.9101,0.2317
9,LEFT_FOOT_INDEX,0.3916,0.9547,0.0757
9,RIGHT_FOOT_INDEX,0.3136,0.9559,0.0769
10,NOSE,0.3608,0.2526,-0.383
10,LEFT_EYE_INNER,0.3694,0.24,-0.3672
10,LEFT_EYE,0.3742,0.2404,-0.3672
10,LEFT_EYE_OUTER,0.3789,0.2407,-0.3672
10,RIGHT_EYE_INNER,0.3573,0.2397,-0.3629
10,RIGHT_EYE,0.3541,0.2398,-0.3629
10,RIGHT_EYE_OUTER,0.3508,0.2399,-0.363
10,LEFT_EAR,0.3867,0.2471,-0.2421
10,RIGHT_EAR,0.3499,0.2449,-0.2315
10,MOUTH_LEFT,0.3693,0.2697,-0.3345
10,MOUTH_RIGHT,0.3542,0.2688,-0.3302
10,LEFT_SHOULDER,0.4265,0.3476,-0.1506
10,RIGHT_SHOULDER,0.3136,0.3379,-0.1234
10,LEFT_ELBOW,0.4475,0.4689,-0.0895
10,RIGHT_ELBOW,0.2924,0.453,-0.0586
10,LEFT_WRIST,0.4467,0.5725,-0.199
10,RIGHT_WRIST,0.2801,0.5493,-0.1683
10,LEFT_PINKY,0.4465,0.6006,-0.2341
10,RIGHT_PINKY,0.2744,0.582,-0.2013
10,LEFT_INDEX,0.4365,0.5972,-0.2747
10,RIGHT_INDEX,0.2821,0.5805,-0.242
10,LEFT_THUMB,0.4345,0.5868,-0.2164
10,RIGHT_THUMB,0.2862,0.5698,-0.1867
10,LEFT_HIP,0.4002,0.5752,-0.0059
10,RIGHT_HIP,0.3326,0.572,0.0058
10,LEFT_KNEE,0.3951,0.7447,0.0162
10,RIGHT_KNEE,0.3318,0.7426,0.0192
10,LEFT_ANKLE,0.3907,0.8922,0.2165
10,RIGHT_ANKLE,0.331,0.8916,0.2162
10,LEFT_HEEL,0.385,0.9074,0.226
10,RIGHT_HEEL,0.338,0.9101,0.2259
10,LEFT_FOOT_INDEX,0.3919,0.9545,0.0718
10,RIGHT_FOOT_INDEX,0.3137,0.9559,0.073
11,NOSE,0.3607,0.2529,-0.4023
11,LEFT_EYE_INNER,0.3694,0.2402,-0.3856
11,LEFT_EYE,0.3742,0.2406,-0.3856
11,LEFT_EYE_OUTER,0.3788,0.2408,-0.3855
11,RIGHT_EYE_INNER,0.3572,0.2398,-0.383
11,RIGHT_EYE,0.3537,0.24,-0.3831
11,RIGHT_EYE_OUTER,0.3504,0.2401,-0.3831
11,LEFT_EAR,0.3864,0.2471,-0.2542
11,RIGHT_EAR,0.349,0.2451,-0.2473
11,MOUTH_LEFT,0.3692,0.2699,-0.3511
11,MOUTH_RIGHT,0.3542,0.2692,-0.3488
11,LEFT_SHOULDER,0.4261,0.3476,-0.1548
11,RIGHT_SHOULDER,0.3126,0.3379,-0.1321
11,LEFT_ELBOW,0.4475,0.4686,-0.0927
11,RIGHT_ELBOW,0.2919,0.4532,-0.0632
11,LEFT_WRIST,0.4439,0.5724,-0.2129
11,RIGHT_WRIST,0.2809,0.5498,-0.1809
11,LEFT_PINKY,0.4424,0.6008,-0.2497
11,RIGHT_PINKY,0.2752,0.5821,-0.2159
11,LEFT_INDEX,0.4328,0.5976,-0.2899
11,RIGHT_INDEX,0.283,0.5809,-0.2579
11,LEFT_THUMB,0.4314,0.5871,-0.2299
11,RIGHT_THUMB,0.2869,0.5702,-0.1997
11,LEFT_HIP,0.3998,0.5736,-0.0061
11,RIGHT_HIP,0.3325,0.5709,0.006
11,LEFT_KNEE,0.3951,0.744,0.0141
11,RIGHT_KNEE,0.3317,0.7415,0.0192
11,LEFT_ANKLE,0.3907,0.8922,0.2172
11,RIGHT_ANKLE,0.331,0.8916,0.2202
11,LEFT_HEEL,0.385,0.9074,0.2272
11,RIGHT_HEEL,0.3379,0.9101,0.2305
11,LEFT_FOOT_INDEX,0.3922,0.9546,0.0711
11,RIGHT_FOOT_INDEX,0.3137,0.9559,0.0764
12,NOSE,0.3607,0.2529,-0.404
